Date,ANA.MC,ALFA.ST,BALL.K,BAYGn.DE,BIOX.PA,BXB.AX,CEMEXCPO.MX,CNR.TO,CNHI.K,SGOB.PA,DAR.N,DE.N,2308.TW,EONGn.DE,EDP.LS,ELI.BR,ECVG.DE,ENEI.MI,ENGIE.PA,2603.TW,FSLR.O,6504.T,G1AG.DE,GETP.PA,HEIG.DE,6501.T,IBE.MC,IFXGn.DE,J.N,JCI.N,1812.T,KSP.I,373220.KS,MBGn.DE,MRCG.DE,MEL.NZ,MYTr.AT,NEE,ORSTED.CO,ORG.AX,OC.N,RSG.N,RWEG.DE,SALM.OL,SCHN.PA,1928.T,SIEGn.DE,SEDG.O,SSE.L,6762.T,TOM.OL,TT,UPMEUR.xbo,VIE.PA,VWS.CO,WSP.TO,XYL
2019/1/7,77.14,,,,58.6,,,,,29.84,,,,,3.0053,59.3826,,,12.8737,,,,,11.835,,,5.9464,,,,,,,,,,,,,,,,,,60.16,,,,,,,,,17.4515,,,
2019/1/8,78.24,,,,59,,,,,29.6,,,,,2.9926,60.3657,,,13.0975,,,,,11.865,,,5.9247,,,,,,,,,,,,,,,,,,59.92,,,,,,,,,17.5961,,,
2019/1/9,77.64,,,,58,,,,,28.89,,,,,3.0151,59.3826,,,12.9613,,,,,11.745,,,5.846,,,,,,,,,,,,,,,,,,58.9,,,,,,,,,17.0851,,,
2019/1/10,78.74,,,,58,,,,,28.77,,,,,3.0083,58.1045,,,12.9953,,,,,11.89,,,5.8783,,,,,,,,,,,,,,,,,,58.56,,,,,,,,,17.0803,,,
2019/1/11,79.08,,,,58.5,,,,,28.81,,,,,3.0004,58.9893,,,13.2336,,,,,11.96,,,5.8851,,,,,,,,,,,,,,,,,,58.2,,,,,,,,,17.1671,,,
2019/1/14,79.28,,,,60,,,,,29,,,,,2.9946,58.9893,,,13.1315,,,,,11.98,,,5.8579,,,,,,,,,,,,,,,,,,58.54,,,,,,,,,17.3406,,,
2019/1/15,80,,,,59.9,,,,,29.295,,,,,2.9916,58.9893,,,13.2288,,,,,12.365,,,5.8971,,,,,38.86,,,,,,,,,,,,,58.48,,,,,,,,,17.3454,,,
2019/1/16,79.64,,,,61.4,,,,,29.91,,,,,3.0053,58.6944,,5.154,13.4574,,,,,12.52,,,5.8919,,,,,38.5,,,,,,,,,,,,,60.26,,,,,,,,,17.6781,,,
2019/1/17,78.84,,,63.87,61.7,,,,,29.73,,,,8.981,2.9741,59.8742,5.7,5.176,13.3552,,,,23.01,12.415,54.8,,5.9192,17.76,,,,38.36,,39.4988,89.3,,,,,,,,19.9,,60.38,,88.2439,,,,,,,17.519,,,
2019/1/18,79.68,,,65.52,61.2,,,,,30.12,,,,9.027,2.9711,59.7758,5.71,5.164,13.3212,,,,23.48,12.4,55.36,,6.0163,17.715,,,,37.9,,39.7836,89.9,,,,,,,,19.98,,60.16,,88.5955,,,,,,,17.437,,,
2019/1/21,79.66,,,65.59,61.4,,,,,29.71,,,,8.934,2.9789,60.6607,5.61,5.25,13.4282,,,,23.95,12.63,56.52,,5.9703,18.185,,,,37.58,,40.9687,90.8,,,,,,,,19.975,,59.18,,88.92,,,,,,,17.4515,,,
